Full Name,Display Name,Abbreviation
Camden Prep Copewood Elementary School,Camden Prep Copewood ES,CP_CES
Camden Prep Copewood Middle School,Camden Prep Copewood MS,CP_CMS
Camden Prep High School,Camden Prep HS,CP_HS
Camden Prep Mt. Ephraim Elementary School,Camden Prep Mt Ephraim ES,CP_MES
Camden Prep Mt. Ephraim Middle School,Camden Prep Mt Ephraim MS,CP_MMS
North Star Academy Alexander Street Elementary School,NSA Alexander Street ES,NSA_AES
North Star Academy Central Avenue Middle School,NSA Central Avenue MS,NSA_CMS
North Star Academy Clinton Hill Middle School,NSA Clinton Hill MS,NSA_CHMS
North Star Academy Downtown Middle School,NSA Downtown MS,NSA_DTMS
North Star Academy Fairmount Elementary School,NSA Fairmount ES,NSA_FES
North Star Academy Liberty Elementary School,NSA Liberty ES,NSA_LES
North Star Academy Lincoln Park Elementary School,NSA Lincoln Park ES,NSA_LPES
North Star Academy Lincoln Park High School,NSA Lincoln Park HS,NSA_LPHS
North Star Academy Lincoln Park Middle School,NSA Lincoln Park MS,NSA_LPMS
North Star Academy Vailsburg Elementary School,NSA Vailsburg ES,NSA_VES
North Star Academy Vailsburg Middle School,NSA Vailsburg MS,NSA_VMS
North Star Academy Washington Park High School,NSA Washington Park HS,NSA_WPHS
North Star Academy West Side Park Elementary School,NSA West Side Park ES,NSA_WPES
North Star Academy West Side Park Middle School,NSA West Side Park MS,NSA_WMS
Rochester Prep Andrews Campus Elementary School,RP Andrews Campus ES,RP_ACES
Rochester Prep Brooks Campus Middle School,RP Brooks Campus MS,RP_BCMS
Rochester Prep Chili Campus Middle School,RP Chili Campus MS,RP_CCMS
Rochester Prep High School,Rochester Prep HS,RP_HS
Rochester Prep Jay Campus Elementary School,RP Jay Campus ES,RP_JCES
Rochester Prep St. Jacob Campus Elementary School,RP St. Jacob Campus ES,RP_SJCES
Rochester Prep St. Jacob Campus Middle School,RP St. Jacob Campus MS,RP_SJCMS
Roxbury Prep Dorchester,Roxbury Prep Dorchester MS,RXP_DC
Roxbury Prep High School,Roxbury Prep HS,RXP_HS
Roxbury Prep Proctor Street,Roxbury Prep Proctor Street MS,RXP_PS
Uncommon Bed-Stuy East Middle School,Uncommon Bed-Stuy East MS,NYC_UBEM
Uncommon Bed-Stuy West Elementary School,Uncommon Bed-Stuy West ES,NYC_UBWE
Uncommon Bed-Stuy West Middle School,Uncommon Bed-Stuy West MS,NYC_UBWM
Uncommon Brownsville North Elementary School,Uncommon Brownsville North ES,NYC_UBNE
Uncommon Brownsville North Middle School,Uncommon Brownsville North MS,NYC_UBNM
Uncommon Brownsville South Elementary School,Uncommon Brownsville South ES,NYC_UBSE
Uncommon Brownsville South Middle School,Uncommon Brownsville South MS,NYC_UBSM
Uncommon Canarsie Elementary School,Uncommon Canarsie ES,NYC_UCES
Uncommon Canarsie Middle School,Uncommon Canarsie MS,NYC_UCMS
Uncommon Charter High School,Uncommon Charter HS,NYC_UCHS
Uncommon Collegiate Charter High School,Uncommon Collegiate Charter HS,NYC_UCC
Uncommon Crown Heights Elementary School,Uncommon Crown Heights ES,NYC_UCHE
Uncommon Excellence Boys Elementary School,Uncommon Excellence Boys ES,NYC_UEBE
Uncommon Excellence Boys Middle School,Uncommon Excellence Boys MS,NYC_UEBM
Uncommon Excellence Girls Elementary School,Uncommon Excellence Girls ES,NYC_UEGE
Uncommon Excellence Girls Middle School,Uncommon Excellence Girls MS,NYC_UEGM
Uncommon Kings Elementary School,Uncommon Kings ES,NYC_UKES
Uncommon Kings Middle School,Uncommon Kings MS,NYC_UKMS
Uncommon Leadership Charter High School,Uncommon Leadership Charter HS,NYC_ULC
Uncommon Ocean Hill Middle School,Uncommon Ocean Hill MS,NYC_UOHM
Uncommon Preparatory Charter High School,Uncommon Prep Charter HS,NYC_UPC
Uncommon Williamsburg Elementary School,Uncommon Williamsburg ES,NYC_UWES
Uncommon Williamsburg Middle School,Uncommon Williamsburg MS,NYC_UWMS
